nl,code,utils
"find files file uses <u>n</u> units of setting the `lc_messages' environment variable. from previous behaviour, which used and output the last part of files output the last num bytes; output appended data as the with <b>-f</b>, sleep for approximately and split a file into pieces put size bytes per output put at most size bytes do not generate empty output put number lines/records per output",find -newer arg -size Size arg | tail -c -Quantity arg --follow arg | split -C Size -e --bytes Size --lines arg,tail find split
stream editor add the script to the follow symlinks when processing in specify the desired line-wrap length disable all gnu extensions.,sed -e Program --line-length arg --posix Program,sed
,source arg,source
change file mode bits like verbose but report only suppress most error messages output a diagnostic for every use rfile's mode instead of change files and directories recursively,chmod -R -f -v --changes --reference arg arg arg,chmod
display status of jobs in the current session and pattern-directed scanning and processing language,jobs | awk,jobs awk
Find files/directories under current directory that matches 'projects/insanewebproject' in their paths,find arg -ipath arg,find
Find files whose content was modified at least 1 minute ago,find arg -mmin +Quantity,find
display a tree of processes use ascii characters to draw use vt100 line drawing characters. highlighting or if neither the show full names for threads,pstree -A -G -h arg,pstree
Search the current directory tree for files whose names begin with 'my',find arg -name arg,find
"Nano's ANOther editor, an enhanced free Pico clone indent new lines to the enable mouse support, if available",nano --autoindent --mouse,nano
Find all files in /home/user/ that were created or changed 10 minutes ago,find arg -cmin arg -print,find
read from standard input and write to standard output and files,tee,tee
Search the current directory recursively for files last modified within the past 24 hours,find arg -mtime Timespan,find
display files on a page-by-page basis suppress underlining.,more -u,more
pattern-directed scanning and processing language,awk,awk
search for files in a directory hierarchy example +a+x) which are not,find -perm arg arg,find
"dump files in octal and other formats skip bytes input bytes first select output format or formats accept arguments in third form same as <b>-t</b> o1, select same as <b>-t</b> c, select same as <b>-t</b> u2, select same as <b>-t</b> x2, select",od -b -c -d -x --format ARG --skip-bytes Size --traditional,od
"copy files same as <b>--preserve</b>=<u>mode</u>,ownership,timestamps preserve the specified attributes (default: control creation of sparse files. explain what is being done",cp -p -v --preserve arg --sparse ARG arg,cp
Find all files in maximum 2 levels down the current directory,find arg -maxdepth arg -type f,find
display files on a page-by-page basis display version information and exit.,more arg,more
maintain crontab files for individual users (Vixie Cron),crontab arg,crontab
,] arg,]
"run a command immune to hangups, with output to a non-tty",nohup,nohup
change the file group ownership output a diagnostic for every do not treat '/' specially operate on files and directories,chgrp --no-preserve-root --recursive --verbose arg arg,chgrp
"secure copy (remote file copy program) compression enable. passes the <b>-c</b> limits the used bandwidth, specified can be used to pass traversal.",scp -C -l Bandwidth -r arg,scp
print calendar,cal DateTime,cal
Find all first occurrences of directories named '.texturedata' under '/path/to/look/in' directory tree,find arg -type d -name arg,find
output a string repeatedly until killed display this help and exit,yes --help,yes
locate a command,which arg,which
"print newline, word, and byte counts for each file output version information and exit and pattern-directed scanning and processing language",wc --version | awk,wc awk
change the file group ownership affect symbolic links instead of do not traverse any symbolic,chgrp arg --no-dereference arg,chgrp
build and execute command lines from standard input input items are terminated by set the end of file this option is a synonym if the standard input does exit if the size (see,xargs -E arg --eof arg --exit --null,xargs
determine file type prints internal debugging information to causes the file command to don't pad filenames so that,file -N -d -i arg,file
recursively change owner of the directory /usr/lib/node_modules/ to the current user,chown -R $( whoami ) arg,chown
display a long listing of all files in the entire file system which are bigger than 1MB,find arg -size +Size -exec ls,find ls
show who is logged on attempt to canonicalize hostnames via all login names and number print current runlevel print last system clock change add user's message status as,who -T -r -t --count --lookup,who
print arguments do not output the trailing disable interpretation of backslash escapes,echo -E -n,echo
remove directories ignore each failure that is remove directory and its ancestors; output a diagnostic for every,rmdir -p -v --ignore-fail-on-non-empty arg,rmdir
,bind,bind
compute and check MD5 message digest read in binary mode exit non-zero for improperly formatted warn about improperly formatted checksum,md5sum -w --binary --strict,md5sum
